commit	val_roi	val_brier	status	description
f6c5775	0.177767	0.236647	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=54
e2c89a8	0.126781	0.240741	ok	model=lgb calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=54
e2c89a8	0.156091	0.238417	ok	model=xgb calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=54
e2c89a8	0.155574	0.237522	ok	model=ensemble_avg calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=54
e2c89a8	0.110438	0.253069	ok	model=ensemble_stack calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=54
e2c89a8	0.126781	0.240741	ok	model=lgb calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=54
e2c89a8	0.177767	0.236647	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=54
42fbe2d	0.177259	0.236629	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=49
42fbe2d	0.177147	0.236691	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=57
42fbe2d	0.179563	0.236457	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=54
4f8a685	0.191284	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=54
8185895	0.190657	0.236510	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.04 feats=54
8185895	0.181204	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.03 feats=54
8185895	0.198824	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.05 feats=54
ec00198	0.212090	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.06 feats=54
a01b191	0.216159	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.07 feats=54
42cda82	0.237414	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.08 feats=54
361cc45	0.253009	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.09 feats=54
361cc45	0.269326	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.1 feats=54
361cc45	0.343494	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=54
361cc45	0.397576	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.15 feats=54
361cc45	0.569048	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.2 feats=54
2217a8d	0.338213	0.237026	ok	model=lr calibrate=True folds=3 early_cutoff=None W=15 momentum_W=5 threshold=0.12 feats=54
2217a8d	0.345812	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=54
2217a8d	0.326956	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=54
2217a8d	0.405664	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=54
2217a8d	0.415660	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=54
2217a8d	0.358280	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=54
d43712d	0.403889	0.236510	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=54
d43712d	0.396691	0.236457	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=54
d43712d	0.394760	0.236490	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=59
d43712d	0.396886	0.236372	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=53
d43712d	0.373030	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.11 feats=54
d43712d	0.435142	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
d43712d	0.429347	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.14 feats=54
e1b874e	0.288668	0.240741	ok	model=lgb calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
e1b874e	0.423489	0.236301	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
e1b874e	0.383850	0.236574	ok	model=lr calibrate=True folds=3 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
e1b874e	0.368590	0.236702	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
e1b874e	0.314044	0.236702	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.1 feats=54
e1b874e	0.355889	0.236702	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=54
e1b874e	0.320145	0.236702	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.12 feats=54
e1b874e	0.335790	0.236702	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
e1b874e	0.259879	0.236702	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.1 feats=54
e1b874e	0.357293	0.236702	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.14 feats=54
e1b874e	0.348757	0.236702	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.15 feats=54
e1b874e	0.335790	0.236702	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
f7b1e64	0.325792	0.236912	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
f7b1e64	0.321935	0.236832	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=5 threshold=0.13 feats=54
f7b1e64	0.335895	0.236777	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=10 momentum_W=5 threshold=0.13 feats=54
f7b1e64	0.320294	0.236880	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=20 momentum_W=5 threshold=0.13 feats=54
f7b1e64	0.343230	0.236788	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=3 threshold=0.13 feats=54
f7b1e64	0.347220	0.236755	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=7 threshold=0.13 feats=54
f7b1e64	0.351390	0.236758	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
f7b1e64	0.338480	0.236750	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=12 threshold=0.13 feats=54
82e2209	0.351390	0.236758	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.332331	0.236862	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=39
82e2209	0.351390	0.236758	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
82e2209	0.342193	0.236809	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
82e2209	0.342688	0.236838	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=53
82e2209	0.287837	0.237103	ok	model=lr calibrate=True folds=4 early_cutoff=10 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.321142	0.236868	ok	model=lr calibrate=True folds=4 early_cutoff=20 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.351390	0.236758	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
82e2209	0.341489	0.236728	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.288596	0.239315	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.295474	0.238904	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.337380	0.236906	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.339635	0.236808	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
82e2209	0.232040	0.238675	ok	model=lgb calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=54
82e2209	0.355232	0.236757	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
a5b9965	0.331308	0.236832	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=57
a5b9965	0.355232	0.236757	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=55
a5b9965	0.350577	0.236730	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=56
a5b9965	0.348402	0.236748	ok	model=lr calibrate=True folds=4 early_cutoff=15 W=15 momentum_W=10 threshold=0.13 feats=56
